REGION,TECHNOLOGY,YEAR,value
Cuba,PWRCRUD001,2019,300.0
Cuba,PWRCRUD001,2020,300.0
Cuba,PWRCRUD001,2021,300.0
Cuba,PWRCRUD001,2022,300.0
Cuba,PWRCRUD001,2023,300.0
Cuba,PWRCRUD001,2024,300.0
Cuba,PWRCRUD001,2025,300.0
Cuba,PWRCRUD001,2026,300.0
Cuba,PWRCRUD001,2027,300.0
Cuba,PWRCRUD001,2028,300.0
Cuba,PWRCRUD001,2029,300.0
Cuba,PWRCRUD001,2030,300.0
Cuba,PWRCRUD001,2031,300.0
Cuba,PWRCRUD001,2032,300.0
Cuba,PWRCRUD001,2033,300.0
Cuba,PWRCRUD001,2034,300.0
Cuba,PWRCRUD001,2035,300.0
Cuba,PWRCRUD001,2036,300.0
Cuba,PWRCRUD001,2037,300.0
Cuba,PWRCRUD001,2038,300.0
Cuba,PWRCRUD001,2039,300.0
Cuba,PWRCRUD001,2040,300.0
Cuba,PWRCRUD001,2041,300.0
Cuba,PWRCRUD001,2042,300.0
Cuba,PWRCRUD001,2043,300.0
Cuba,PWRCRUD001,2044,300.0
Cuba,PWRCRUD001,2045,300.0
Cuba,PWRCRUD001,2046,300.0
Cuba,PWRCRUD001,2047,300.0
Cuba,PWRCRUD001,2048,300.0
Cuba,PWRCRUD001,2049,300.0
Cuba,PWRCRUD001,2050,300.0
Cuba,PWRCRUD001,2051,300.0
Cuba,PWRCRUD001,2052,300.0
Cuba,PWRCRUD001,2053,300.0
Cuba,PWRCRUD001,2054,300.0
Cuba,PWRCRUD001,2055,300.0
Cuba,PWRCRUD002,2019,300.0
Cuba,PWRCRUD002,2020,300.0
Cuba,PWRCRUD002,2021,300.0
Cuba,PWRCRUD002,2022,300.0
Cuba,PWRCRUD002,2023,300.0
Cuba,PWRCRUD002,2024,300.0
Cuba,PWRCRUD002,2025,300.0
Cuba,PWRCRUD002,2026,300.0
Cuba,PWRCRUD002,2027,300.0
Cuba,PWRCRUD002,2028,300.0
Cuba,PWRCRUD002,2029,300.0
Cuba,PWRCRUD002,2030,300.0
Cuba,PWRCRUD002,2031,300.0
Cuba,PWRCRUD002,2032,300.0
Cuba,PWRCRUD002,2033,300.0
Cuba,PWRCRUD002,2034,300.0
Cuba,PWRCRUD002,2035,300.0
Cuba,PWRCRUD002,2036,300.0
Cuba,PWRCRUD002,2037,300.0
Cuba,PWRCRUD002,2038,300.0
Cuba,PWRCRUD002,2039,300.0
Cuba,PWRCRUD002,2040,300.0
Cuba,PWRCRUD002,2041,300.0
Cuba,PWRCRUD002,2042,300.0
Cuba,PWRCRUD002,2043,300.0
Cuba,PWRCRUD002,2044,300.0
Cuba,PWRCRUD002,2045,300.0
Cuba,PWRCRUD002,2046,300.0
Cuba,PWRCRUD002,2047,300.0
Cuba,PWRCRUD002,2048,300.0
Cuba,PWRCRUD002,2049,300.0
Cuba,PWRCRUD002,2050,300.0
Cuba,PWRCRUD002,2051,300.0
Cuba,PWRCRUD002,2052,300.0
Cuba,PWRCRUD002,2053,300.0
Cuba,PWRCRUD002,2054,300.0
Cuba,PWRCRUD002,2055,300.0
Cuba,PWRCRUD003,2019,300.0
Cuba,PWRCRUD003,2020,300.0
Cuba,PWRCRUD003,2021,300.0
Cuba,PWRCRUD003,2022,300.0
Cuba,PWRCRUD003,2023,300.0
Cuba,PWRCRUD003,2024,300.0
Cuba,PWRCRUD003,2025,300.0
Cuba,PWRCRUD003,2026,300.0
Cuba,PWRCRUD003,2027,300.0
Cuba,PWRCRUD003,2028,300.0
Cuba,PWRCRUD003,2029,300.0
Cuba,PWRCRUD003,2030,300.0
Cuba,PWRCRUD003,2031,300.0
Cuba,PWRCRUD003,2032,300.0
Cuba,PWRCRUD003,2033,300.0
Cuba,PWRCRUD003,2034,300.0
Cuba,PWRCRUD003,2035,300.0
Cuba,PWRCRUD003,2036,300.0
Cuba,PWRCRUD003,2037,300.0
Cuba,PWRCRUD003,2038,300.0
Cuba,PWRCRUD003,2039,300.0
Cuba,PWRCRUD003,2040,300.0
Cuba,PWRCRUD003,2041,300.0
Cuba,PWRCRUD003,2042,300.0
Cuba,PWRCRUD003,2043,300.0
Cuba,PWRCRUD003,2044,300.0
Cuba,PWRCRUD003,2045,300.0
Cuba,PWRCRUD003,2046,300.0
Cuba,PWRCRUD003,2047,300.0
Cuba,PWRCRUD003,2048,300.0
Cuba,PWRCRUD003,2049,300.0
Cuba,PWRCRUD003,2050,300.0
Cuba,PWRCRUD003,2051,300.0
Cuba,PWRCRUD003,2052,300.0
Cuba,PWRCRUD003,2053,300.0
Cuba,PWRCRUD003,2054,300.0
Cuba,PWRCRUD003,2055,300.0
Cuba,PWRCRUD004,2019,300.0
Cuba,PWRCRUD004,2020,300.0
Cuba,PWRCRUD004,2021,300.0
Cuba,PWRCRUD004,2022,300.0
Cuba,PWRCRUD004,2023,300.0
Cuba,PWRCRUD004,2024,300.0
Cuba,PWRCRUD004,2025,300.0
Cuba,PWRCRUD004,2026,300.0
Cuba,PWRCRUD004,2027,300.0
Cuba,PWRCRUD004,2028,300.0
Cuba,PWRCRUD004,2029,300.0
Cuba,PWRCRUD004,2030,300.0
Cuba,PWRCRUD004,2031,300.0
Cuba,PWRCRUD004,2032,300.0
Cuba,PWRCRUD004,2033,300.0
Cuba,PWRCRUD004,2034,300.0
Cuba,PWRCRUD004,2035,300.0
Cuba,PWRCRUD004,2036,300.0
Cuba,PWRCRUD004,2037,300.0
Cuba,PWRCRUD004,2038,300.0
Cuba,PWRCRUD004,2039,300.0
Cuba,PWRCRUD004,2040,300.0
Cuba,PWRCRUD004,2041,300.0
Cuba,PWRCRUD004,2042,300.0
Cuba,PWRCRUD004,2043,300.0
Cuba,PWRCRUD004,2044,300.0
Cuba,PWRCRUD004,2045,300.0
Cuba,PWRCRUD004,2046,300.0
