REGION,TECHNOLOGY,YEAR,value
Cuba,PWRCRUD001,2019,1.0
Cuba,PWRCRUD001,2020,1.0
Cuba,PWRCRUD001,2021,1.0
Cuba,PWRCRUD001,2022,1.0
Cuba,PWRCRUD001,2023,1.0
Cuba,PWRCRUD001,2024,1.0
Cuba,PWRCRUD002,2019,1.0
Cuba,PWRCRUD002,2020,1.0
Cuba,PWRCRUD002,2021,1.0
Cuba,PWRCRUD002,2022,1.0
Cuba,PWRCRUD002,2023,1.0
Cuba,PWRCRUD002,2024,1.0
Cuba,PWRCRUD003,2019,1.0
Cuba,PWRCRUD003,2020,1.0
Cuba,PWRCRUD003,2021,1.0
Cuba,PWRCRUD003,2022,1.0
Cuba,PWRCRUD003,2023,1.0
Cuba,PWRCRUD003,2024,1.0
Cuba,PWRCRUD004,2019,1.0
Cuba,PWRCRUD004,2020,1.0
Cuba,PWRCRUD004,2021,1.0
Cuba,PWRCRUD004,2022,1.0
Cuba,PWRCRUD004,2023,1.0
Cuba,PWRCRUD004,2024,1.0
Cuba,PWRHFO01,2019,1.0
Cuba,PWRHFO01,2020,1.0
Cuba,PWRHFO01,2021,1.0
Cuba,PWRHFO01,2022,1.0
Cuba,PWRHFO01,2023,1.0
Cuba,PWRHFO01,2024,1.0
Cuba,PWRCRUD005,2019,1.0
Cuba,PWRCRUD005,2020,1.0
Cuba,PWRCRUD005,2021,1.0
Cuba,PWRCRUD005,2022,1.0
Cuba,PWRCRUD005,2023,1.0
Cuba,PWRCRUD005,2024,1.0
Cuba,PWRCRUD006,2019,1.0
Cuba,PWRCRUD006,2020,1.0
Cuba,PWRCRUD006,2021,1.0
Cuba,PWRCRUD006,2022,1.0
Cuba,PWRCRUD006,2023,1.0
Cuba,PWRCRUD006,2024,1.0
Cuba,PWRCRUD007,2019,1.0
Cuba,PWRCRUD007,2020,1.0
Cuba,PWRCRUD007,2021,1.0
Cuba,PWRCRUD007,2022,1.0
Cuba,PWRCRUD007,2023,1.0
Cuba,PWRCRUD007,2024,1.0
Cuba,PWRCRUD008,2019,1.0
Cuba,PWRCRUD008,2020,1.0
Cuba,PWRCRUD008,2021,1.0
Cuba,PWRCRUD008,2022,1.0
Cuba,PWRCRUD008,2023,1.0
Cuba,PWRCRUD008,2024,1.0
Cuba,PWRCRUD008,2025,1.0
Cuba,PWRCRUD008,2026,1.0
Cuba,PWRCRUD008,2027,1.0
Cuba,PWRCRUD008,2028,1.0
Cuba,PWRCRUD008,2029,1.0
Cuba,PWRCRUD008,2030,1.0
Cuba,PWRCRUD008,2031,1.0
Cuba,PWRCRUD008,2032,1.0
Cuba,PWRCRUD008,2033,1.0
Cuba,PWRCRUD008,2034,1.0
Cuba,PWRCRUD008,2035,1.0
Cuba,PWRCRUD008,2036,1.0
Cuba,PWRCRUD008,2037,1.0
Cuba,PWRCRUD008,2038,1.0
Cuba,PWRCRUD008,2039,1.0
Cuba,PWRCRUD008,2040,1.0
Cuba,PWRCRUD008,2041,1.0
Cuba,PWRCRUD008,2042,1.0
Cuba,PWRCRUD008,2043,1.0
Cuba,PWRCRUD008,2044,1.0
Cuba,PWRCRUD008,2045,1.0
Cuba,PWRCRUD008,2046,1.0
Cuba,PWRCRUD008,2047,1.0
Cuba,PWRCRUD008,2048,1.0
Cuba,PWRCRUD008,2049,1.0
Cuba,PWRCRUD008,2050,1.0
Cuba,PWRNG01,2019,1.0
Cuba,PWRNG01,2020,1.0
Cuba,PWRNG01,2021,1.0
Cuba,PWRNG01,2022,1.0
Cuba,PWRNG01,2023,1.0
Cuba,PWRNG01,2024,1.0
Cuba,PWRNG01,2025,1.0
Cuba,PWRNG01,2026,1.0
Cuba,PWRNG01,2027,1.0
Cuba,PWRNG01,2028,1.0
Cuba,PWRNG01,2029,1.0
Cuba,PWRNG01,2030,1.0
Cuba,PWRNG01,2031,1.0
Cuba,PWRNG01,2032,1.0
Cuba,PWRNG01,2033,1.0
Cuba,PWRNG01,2034,1.0
Cuba,PWRNG01,2035,1.0
Cuba,PWRNG01,2036,1.0
Cuba,PWRNG01,2037,1.0
