REGION,TECHNOLOGY,YEAR,value
Cuba,PWRCRUD008,2019,0.2
Cuba,PWRCRUD008,2020,0.2
Cuba,PWRCRUD008,2021,0.2
Cuba,PWRCRUD008,2022,0.2
Cuba,PWRCRUD008,2023,0.2
Cuba,PWRCRUD008,2024,0.2
Cuba,PWRCRUD008,2025,0.2
Cuba,PWRCRUD008,2026,0.2
Cuba,PWRCRUD008,2027,0.2
Cuba,PWRCRUD008,2028,0.2
Cuba,PWRCRUD008,2029,0.2
Cuba,PWRCRUD008,2030,0.2
Cuba,PWRCRUD008,2031,0.2
Cuba,PWRCRUD008,2032,0.2
Cuba,PWRCRUD008,2033,0.2
Cuba,PWRCRUD008,2034,0.2
Cuba,PWRCRUD008,2035,0.2
Cuba,PWRCRUD008,2036,0.2
Cuba,PWRCRUD008,2037,0.2
Cuba,PWRCRUD008,2038,0.2
Cuba,PWRCRUD008,2039,0.2
Cuba,PWRCRUD008,2040,0.2
Cuba,PWRCRUD008,2041,0.2
Cuba,PWRCRUD008,2042,0.2
Cuba,PWRCRUD008,2043,0.2
Cuba,PWRCRUD008,2044,0.2
Cuba,PWRCRUD008,2045,0.2
Cuba,PWRCRUD008,2046,0.2
Cuba,PWRCRUD008,2047,0.2
Cuba,PWRCRUD008,2048,0.2
Cuba,PWRCRUD008,2049,0.2
Cuba,PWRCRUD008,2050,0.2
